dataset,it,size,implementation,step,time,mem,clusters
3k,1,2700,jl,FindClusters,0.199414962,1.00796416e9,7
3k,1,2700,jl,RunUMAP,3.973110893,1.009201152e9,7
3k,1,2700,jl,FindAllMarkers,1.182106104,1.278263296e9,7
3k,1,2700,jl32,CreateSeuratObject,0.070545514,,7
3k,1,2700,jl32,NormalizeData,0.036194063,,7
3k,1,2700,jl32,FindVariableFeatures,0.208402285,,7
3k,1,2700,jl32,ScaleData,0.011660382,,7
3k,1,2700,jl32,RunPCA,1.132951868,,7
3k,1,2700,jl32,FindNeighbors,0.12913986,,7
3k,1,2700,jl32,FindClusters,0.162784163,,7
3k,1,2700,jl32,RunUMAP,10.616605885,,7
3k,1,2700,jl32,FindAllMarkers,0.899998981,,7
3k,1,2700,py,CreateSeuratObject,0.374083355,7.79214848e8,4
3k,1,2700,py,NormalizeData,0.120851234,8.4912128e8,4
3k,1,2700,py,FindVariableFeatures,1.991864298,8.3826688e8,4
3k,1,2700,py,ScaleData,0.131047109,8.50960384e8,4
3k,1,2700,py,RunPCA,1.830826277,8.7625728e8,4
3k,1,2700,py,FindNeighbors,32.207122494,9.5389696e8,4
3k,1,2700,py,FindClusters,0.266168082,1.193476096e9,4
3k,1,2700,py,RunUMAP,11.316526275,1.196187648e9,4
3k,1,2700,py,FindAllMarkers,12.090076076,1.184423936e9,4
l5_all,1,160601,R,CreateSeuratObject,45.373844267,9.90418944e9,55
l5_all,1,160601,R,NormalizeData,16.147168312,1.61358848e10,55
l5_all,1,160601,R,FindVariableFeatures,50.265603619,1.6171208704e10,55
l5_all,1,160601,R,ScaleData,19.090687862,1.827766272e10,55
l5_all,1,160601,R,RunPCA,122.579617763,2.7209773056e10,55
l5_all,1,160601,R,FindNeighbors,47.358405143,2.7209773056e10,55
l5_all,1,160601,R,FindClusters,76.423910599,2.4746012672e10,55
l5_all,1,160601,R,RunUMAP,181.01529084,2.4746020864e10,55
l5_all,1,160601,R,FindAllMarkers,43389.824092757,4.1645621248e10,55
l5_all,1,160601,jl,CreateSeuratObject,10.931495834,4.823248896e9,52
l5_all,1,160601,jl,NormalizeData,6.915615056,8.035074048e9,52
l5_all,1,160601,jl,FindVariableFeatures,7.469327399,1.267439616e10,52
l5_all,1,160601,jl,ScaleData,1.749301012,1.208356864e10,52
l5_all,1,160601,jl,RunPCA,102.870376171,1.2761956352e10,52
l5_all,1,160601,jl,FindNeighbors,6.457172245,9.822294016e9,52
l5_all,1,160601,jl,FindClusters,77.334676386,1.182547968e10,52
l5_all,1,160601,jl,RunUMAP,451.757519386,1.1090939904e10,52
l5_all,1,160601,jl,FindAllMarkers,643.434781687,1.1980734464e10,52
l5_all,1,160601,py,CreateSeuratObject,8.883314887,4.828028928e9,44
l5_all,1,160601,py,NormalizeData,6.292731028,5.881151488e9,44
l5_all,1,160601,py,FindVariableFeatures,25.56358727,5.851693056e9,44
l5_all,1,160601,py,ScaleData,4.087600462,5.886550016e9,44
l5_all,1,160601,py,RunPCA,45.758038633,7.175262208e9,44
l5_all,1,160601,py,FindNeighbors,16.324249537,8.779804672e9,44
