dataset,size,implementation,dims,k,resolution,tables,time,purity,classpurity,clusters,ari,ri,avgsilh,seed
3k,2700,scanpy,10,20,0.1,20,0.864163066,,,1,,,0.34724552732047265,1
3k,2700,scanpy,10,20,0.1,20,0.815430184,,,1,,,0.3439232451293407,2
3k,2700,scanpy,10,20,0.1,20,0.917111288,,,1,,,0.3428848766147507,3
3k,2700,scanpy,10,20,0.1,20,0.964660102,,,1,,,0.3461612539996257,4
3k,2700,scanpy,10,20,0.2,20,1.001291153,,,4,,,0.34134528739516173,0
3k,2700,scanpy,10,20,0.2,20,0.858556267,,,1,,,0.34724552732047265,1
3k,2700,scanpy,10,20,0.2,20,0.845994152,,,1,,,0.3600582290144538,2
3k,2700,scanpy,10,20,0.2,20,0.905669447,,,1,,,0.3590955294950869,3
3k,2700,scanpy,10,20,0.2,20,0.982152922,,,1,,,0.3461612539996257,4
3k,2700,scanpy,10,20,0.3,20,1.025073194,,,4,,,0.3593125922121244,0
3k,2700,scanpy,10,20,0.3,20,0.857486012,,,1,,,0.36311878968819356,1
3k,2700,scanpy,10,20,0.3,20,0.821261729,,,1,,,0.356127474125568,2
3k,2700,scanpy,10,20,0.3,20,0.907781073,,,1,,,0.3544976679526382,3
3k,2700,scanpy,10,20,0.3,20,0.85411582,,,1,,,0.35461796216751046,4
3k,2700,scanpy,10,20,0.4,20,0.957964566,,,1,,,0.25216634383648245,1
3k,2700,scanpy,10,20,0.4,20,0.85719898,,,1,,,0.33924805623888343,2
3k,2700,scanpy,10,20,0.4,20,0.93154829,,,1,,,0.25567570412641594,3
3k,2700,scanpy,10,20,0.4,20,0.830010463,,,1,,,0.3429405973469371,4
3k,2700,scanpy,10,20,0.5,20,0.887913801,,,7,,,0.26132428349360654,0
3k,2700,scanpy,10,20,0.5,20,1.103268185,,,1,,,0.2550190000254669,1
3k,2700,scanpy,10,20,0.5,20,0.853367679,,,1,,,0.22958921882758437,2
3k,2700,scanpy,10,20,0.5,20,0.979824167,,,1,,,0.28283046763626457,3
3k,2700,scanpy,10,20,0.5,20,0.814139636,,,1,,,0.24137682044390865,4
3k,2700,scanpy,10,20,0.6,20,0.987382172,,,1,,,0.23911608967297537,1
3k,2700,scanpy,10,20,0.6,20,0.830276482,,,1,,,0.23518464060499747,2
3k,2700,scanpy,10,20,0.6,20,0.9360705,,,1,,,0.23560207255388083,3
3k,2700,scanpy,10,20,0.6,20,0.804253483,,,1,,,0.2495091339781879,4
3k,2700,scanpy,10,20,0.7,20,0.86307681,,,1,,,0.23927212767647318,1
3k,2700,scanpy,10,20,0.7,20,0.80991062,,,1,,,0.2354441989105323,2
3k,2700,scanpy,10,20,0.7,20,0.849629254,,,1,,,0.23859676201042535,3
3k,2700,scanpy,10,20,0.7,20,0.812401283,,,1,,,0.23759261298025539,4
3k,2700,scanpy,10,20,0.8,20,0.838281394,,,9,,,0.23626607195912322,0
3k,2700,scanpy,10,20,0.8,20,1.242241025,,,1,,,0.23881798141572952,1
3k,2700,scanpy,10,20,0.8,20,0.807728543,,,1,,,0.21467266016384168,2
3k,2700,scanpy,10,20,0.8,20,0.881832322,,,1,,,0.2389662824602443,3
3k,2700,scanpy,10,20,0.8,20,0.856040756,,,1,,,0.23759261298025539,4
3k,2700,scanpy,10,20,0.9,20,0.844967252,,,10,,,0.20101171658976275,0
3k,2700,scanpy,10,20,0.9,20,0.869335342,,,1,,,0.23802083820381342,1
3k,2700,scanpy,10,20,0.9,20,0.822900843,,,1,,,0.18487284197070428,2
3k,2700,scanpy,10,20,0.9,20,0.857472905,,,1,,,0.2390277407169066,3
3k,2700,scanpy,10,20,0.9,20,0.776916096,,,1,,,0.17827010929078865,4
3k,2700,scanpy,10,20,1.0,20,0.893694784,,,11,,,0.17307086841449357,0
